user_id,user_name_hashed,email_hashed,signup_date,country,acquisition_channel,age,total_orders,lifetime_value_ltv,last_order_date,first_order_date,recency_days,is_churned
USR_1000,340353b22ffffceb,213bfa35e27ef6f7,2024-01-01 00:00:00.000000,NL,Organic,45,6,5414.18,2026-01-03 21:48:21.460292,2024-03-16 17:06:38.239647,178,0
USR_1001,e193a986eeaf1e8d,54bc5896bfcabbc7,2024-01-01 17:32:15.135135,TR,Paid Search,24,3,2024.77,2026-03-08 19:25:28.865773,2024-11-10 10:00:01.440288,114,0
USR_1002,d55653de3e1b6fff,98d28db99c10a605,2024-01-02 11:04:30.270270,CH,Referral,52,3,1347.88,2025-10-26 08:59:31.914382,2024-05-29 15:32:43.832766,247,1
USR_1003,0863373776cf83ee,e565ac552fb129a0,2024-01-03 04:36:45.405405,CH,Social Media,45,3,881.37,2025-03-30 04:31:38.299659,2024-02-24 18:21:14.654930,457,1
USR_1004,21f9dc444a052dac,da9b96cb408a4d16,2024-01-03 22:09:00.540540,DE,Referral,31,3,2406.35,2026-04-04 22:03:02.916583,2024-12-13 03:49:17.631526,87,0
USR_1005,75aaa3993a0f7601,1bf5b6742b782130,2024-01-04 15:41:15.675675,DE,Social Media,27,6,4435.73,2025-02-08 08:53:46.245249,2024-06-09 00:48:40.904180,507,1
USR_1006,ff4b47deecacc98b,03ca47db51a07dbf,2024-01-05 09:13:30.810810,DE,Social Media,33,5,3999.74,2026-05-26 11:55:49.389877,2024-05-02 04:28:10.898179,35,0
USR_1007,7d28c148d3b89ff4,8199fe33f9a96514,2024-01-06 02:45:45.945945,UK,Referral,33,5,6343.13,2026-03-10 17:53:52.726545,2024-09-16 20:17:54.454890,112,0
USR_1008,2f932f79e9a5e673,03194697ff7b55b8,2024-01-06 20:18:01.081081,CH,Organic,48,2,1360.54,2026-02-24 20:08:06.817363,2025-03-19 15:02:11.786357,126,0
USR_1009,dc9963c10a84b4bc,3543b016783a36b6,2024-01-07 13:50:16.216216,CH,Paid Search,59,6,2148.44,2026-01-05 03:22:47.553510,2024-02-03 15:22:21.628325,176,0
USR_1010,992161ab8533d605,5e7946a1a43fb1fb,2024-01-08 07:22:31.351351,DE,Organic,42,3,2258.72,2026-04-16 21:20:24.964993,2024-06-19 18:31:36.859371,75,0
USR_1011,b679e71e72c67aa2,322f6d156d7a6b29,2024-01-09 00:54:46.486486,TR,Email,30,5,2825.08,2026-03-06 08:16:36.679335,2024-04-05 01:50:36.847369,116,0
USR_1012,0b0d3454ef3bd7e3,29c98693861d0bd7,2024-01-09 18:27:01.621621,UK,Email,23,8,9146.21,2026-04-05 14:57:00.684136,2024-09-13 20:28:33.942788,86,0
USR_1013,8d8606a062c1f815,d13b4dc0da9b714d,2024-01-10 11:59:16.756756,DE,Organic,61,5,2977.01,2026-06-26 03:03:12.278455,2024-09-03 02:45:37.987597,4,0
USR_1014,a50f7e82209221c0,23e721cd1cc899c0,2024-01-11 05:31:31.891891,DE,Social Media,26,2,2419.88,2025-09-15 12:49:41.396279,2025-07-23 11:48:02.736547,288,1
USR_1015,ea4d28a75cfb2656,1543e1dfc7c8d045,2024-01-11 23:03:47.027027,DE,Email,62,1,833.16,2025-07-21 21:46:37.759551,2025-07-21 21:46:37.759551,344,1
USR_1016,d8aa732ff00541a2,7a81d150811c6106,2024-01-12 16:36:02.162162,NL,Organic,53,4,3708.37,2026-06-20 03:24:31.254250,2024-02-08 09:26:36.559311,10,0
USR_1017,1deb1cdee51ce4bf,f5a33665c4c7c420,2024-01-13 10:08:17.297297,NL,Social Media,60,3,1916.56,2025-11-24 22:45:58.151630,2024-06-16 01:48:18.579715,218,1
USR_1018,50f0facb8c62a5d9,a966a9a4d3191ce5,2024-01-14 03:40:32.432432,NL,Email,37,7,6243.36,2026-06-11 16:36:58.043608,2024-04-09 03:00:54.010802,19,0
USR_1019,ec2ba384c65b5551,e5c4ea23beceee91,2024-01-14 21:12:47.567567,DE,Organic,35,1,1932.71,2026-03-13 17:43:13.238647,2026-03-13 17:43:13.238647,109,0
USR_1020,0cada378287f5523,9896565f67bdd374,2024-01-15 14:45:02.702702,CH,Social Media,60,2,1125.13,2025-10-16 16:37:32.610522,2025-09-12 04:33:22.000400,257,1
USR_1021,13cfd283ed75e503,d5545be7a0425965,2024-01-16 08:17:17.837837,DE,Organic,38,6,3260.31,2025-11-09 23:39:15.591118,2024-03-07 21:52:06.145229,233,1
USR_1022,0f12c6d6ad48c4ff,a8fe03a53c10eb6d,2024-01-17 01:49:32.972972,DE,Email,21,0,0.0,,,999,1
USR_1023,d8eacbde450df1c1,b9c200e17f429af8,2024-01-17 19:21:48.108108,NL,Email,50,1,845.74,2025-10-29 00:21:53.542708,2025-10-29 00:21:53.542708,244,1
