item_id,order_id,product_id,quantity,unit_price,discount
ITM_1,ORD_10000,PRD_131,1,479.39,0.1
ITM_2,ORD_10000,PRD_108,2,488.25,0.2
ITM_3,ORD_10000,PRD_137,1,202.01,0.1
ITM_4,ORD_10001,PRD_111,1,177.48,0.0
ITM_5,ORD_10002,PRD_110,1,68.9,0.0
ITM_6,ORD_10003,PRD_125,2,82.01,0.0
ITM_7,ORD_10003,PRD_121,2,276.8,0.05
ITM_8,ORD_10003,PRD_130,2,319.15,0.0
ITM_9,ORD_10004,PRD_143,1,480.47,0.0
ITM_10,ORD_10005,PRD_149,1,194.72,0.05
ITM_11,ORD_10005,PRD_102,1,70.94,0.0
ITM_12,ORD_10005,PRD_134,1,91.22,0.1
ITM_13,ORD_10006,PRD_127,2,406.83,0.05
ITM_14,ORD_10006,PRD_126,1,200.2,0.0
ITM_15,ORD_10006,PRD_144,2,483.86,0.0
ITM_16,ORD_10007,PRD_117,2,357.97,0.0
ITM_17,ORD_10008,PRD_150,2,32.57,0.0
ITM_18,ORD_10009,PRD_117,2,357.97,0.05
ITM_19,ORD_10010,PRD_109,1,47.43,0.0
ITM_20,ORD_10011,PRD_130,1,319.15,0.0
ITM_21,ORD_10012,PRD_130,2,319.15,0.0
ITM_22,ORD_10012,PRD_113,1,334.87,0.05
ITM_23,ORD_10013,PRD_148,2,15.93,0.05
ITM_24,ORD_10013,PRD_109,2,47.43,0.0
ITM_25,ORD_10014,PRD_102,2,70.94,0.0
ITM_26,ORD_10014,PRD_138,1,106.49,0.0
ITM_27,ORD_10015,PRD_148,2,15.93,0.1
ITM_28,ORD_10016,PRD_123,2,105.96,0.05
ITM_29,ORD_10017,PRD_135,1,449.86,0.2
ITM_30,ORD_10017,PRD_129,2,348.15,0.0
ITM_31,ORD_10017,PRD_142,1,368.74,0.0
ITM_32,ORD_10018,PRD_140,1,234.89,0.0
ITM_33,ORD_10018,PRD_128,2,274.02,0.0
ITM_34,ORD_10018,PRD_134,2,91.22,0.0
ITM_35,ORD_10019,PRD_148,1,15.93,0.0
ITM_36,ORD_10019,PRD_103,1,370.74,0.0
ITM_37,ORD_10019,PRD_107,1,140.95,0.0
ITM_38,ORD_10020,PRD_105,2,440.05,0.0
ITM_39,ORD_10020,PRD_109,1,47.43,0.0
ITM_40,ORD_10021,PRD_128,1,274.02,0.05
ITM_41,ORD_10021,PRD_122,2,390.69,0.2
ITM_42,ORD_10022,PRD_111,2,177.48,0.1
ITM_43,ORD_10022,PRD_108,2,488.25,0.0
ITM_44,ORD_10022,PRD_142,2,368.74,0.0
ITM_45,ORD_10023,PRD_147,2,286.89,0.2
ITM_46,ORD_10023,PRD_119,2,38.34,0.05
ITM_47,ORD_10023,PRD_121,1,276.8,0.0
ITM_48,ORD_10024,PRD_136,2,490.78,0.1
ITM_49,ORD_10024,PRD_142,2,368.74,0.05
ITM_50,ORD_10024,PRD_125,2,82.01,0.1
ITM_51,ORD_10025,PRD_128,1,274.02,0.0
ITM_52,ORD_10026,PRD_141,1,490.78,0.0
ITM_53,ORD_10027,PRD_142,1,368.74,0.2
ITM_54,ORD_10027,PRD_131,1,479.39,0.0
ITM_55,ORD_10027,PRD_129,2,348.15,0.0
ITM_56,ORD_10028,PRD_150,1,32.57,0.0
ITM_57,ORD_10028,PRD_111,1,177.48,0.1
ITM_58,ORD_10028,PRD_107,1,140.95,0.1
ITM_59,ORD_10029,PRD_114,1,425.06,0.0
ITM_60,ORD_10029,PRD_111,1,177.48,0.0
ITM_61,ORD_10030,PRD_150,1,32.57,0.0
