product_id,category,unit_price,unit_cost
PRD_101,Sports,195.76,98.12
PRD_102,Electronics,70.94,37.18
PRD_103,Electronics,370.74,185.03
PRD_104,Beauty,301.61,121.54
PRD_105,Home & Kitchen,440.05,181.52
PRD_106,Fashion,342.0,168.8
PRD_107,Beauty,140.95,65.67
PRD_108,Beauty,488.25,213.69
PRD_109,Sports,47.43,24.42
PRD_110,Electronics,68.9,33.05
PRD_111,Sports,177.48,110.34
PRD_112,Beauty,324.51,185.36
PRD_113,Home & Kitchen,334.87,189.04
PRD_114,Beauty,425.06,173.03
PRD_115,Home & Kitchen,416.58,242.38
PRD_116,Sports,205.02,100.64
PRD_117,Home & Kitchen,357.97,243.85
PRD_118,Fashion,247.2,154.31
PRD_119,Beauty,38.34,26.35
PRD_120,Electronics,127.19,71.13
PRD_121,Beauty,276.8,190.67
PRD_122,Beauty,390.69,180.3
PRD_123,Fashion,105.96,46.86
PRD_124,Fashion,425.13,210.25
PRD_125,Home & Kitchen,82.01,52.76
PRD_126,Beauty,200.2,120.57
PRD_127,Home & Kitchen,406.83,278.36
PRD_128,Beauty,274.02,114.59
PRD_129,Fashion,348.15,236.46
PRD_130,Beauty,319.15,170.52
PRD_131,Electronics,479.39,267.93
PRD_132,Sports,475.04,327.16
PRD_133,Fashion,277.96,126.22
PRD_134,Home & Kitchen,91.22,48.68
PRD_135,Beauty,449.86,270.95
PRD_136,Electronics,490.78,313.09
PRD_137,Home & Kitchen,202.01,120.75
PRD_138,Electronics,106.49,72.99
PRD_139,Home & Kitchen,490.76,280.16
PRD_140,Home & Kitchen,234.89,158.74
PRD_141,Fashion,490.78,224.3
PRD_142,Home & Kitchen,368.74,186.77
PRD_143,Electronics,480.47,267.35
PRD_144,Fashion,483.86,250.56
PRD_145,Fashion,243.68,149.98
PRD_146,Electronics,234.53,148.79
PRD_147,Beauty,286.89,181.17
PRD_148,Beauty,15.93,6.42
PRD_149,Sports,194.72,110.13
PRD_150,Home & Kitchen,32.57,20.92
